,Unnamed: 0,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo,avg_registration_time
166,166,167,17,"279,304-A,427",01/30/2017,2017-02-15,Anandpur Sahib ,1900-01-02,15:00:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Hit From Back,0,Intersection,Over Speeding,T Point matour ,1,0,0,31.2131941,76.54213969999999,SH,SH-22,Rural,"31.2131941,76.5421397",16
167,167,168,18,"279, 304-A ,427,337",02/21/2017,2017-02-21,Anandpur Sahib ,1900-01-03,11:30:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Mid Block,Over Speeding,Bhupnali petrol pump front village Nanagli ,1,0,1,31.294133399999996,76.4254832,SH,SH-22,Rural,"31.2941334,76.4254832",0
168,168,169,21,"279, 337, 338",02/23/2017,2017-02-26,Anandpur Sahib ,1900-01-05,23:30:00,Bus/Truck,0,0,0,Bus/Truck,0,0,1,Head on Tail,0,Intersection,Over Speeding,Agampur chowk ,0,0,1,31.239036,76.489517,SH,SH-22,Rural,"31.239036,76.489517",3
169,169,170,24,"279, 337,427",02/28/2017,2017-05-03,Anandpur Sahib ,1900-01-03,20:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,village agampur ,0,0,1,31.239036,76.489517,SH,SH-22,Rural,"31.239036,76.489517",64
170,170,171,32,"279, 304-A ,",03/25/2017,2018-03-27,Anandpur Sahib ,1900-01-07,10:30:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Fixed Object,0,Intersection,Over Speeding,Near railway  coloney anandpur sahib ,1,0,0,31.233475899999995,76.49848100000001,SH,SH-22,Urban,"31.2334759,76.498481",367
171,171,172,38,"279, 337, 427",09/04/2017,2017-10-04,Anandpur Sahib ,1900-01-02,20:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,3,Head on,0,Intersection,Over Speeding,village magewal ,0,1,3,31.256008,76.474347,SH,SH-22,Rural,"31.256008,76.474347",30
172,172,173,63,"279, 304-A,427",07/17/2017,2017-07-17,Anandpur Sahib ,1900-01-02,19:15:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,village Dasgrai,1,0,0,31.278111,76.436433,SH,SH-22,Rural,"31.278111,76.436433",0
173,173,174,66,"279, 337,338, 427",07/23/2017,2017-07-23,Anandpur Sahib ,1900-01-01,03:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,5,10,Hit From Back,0,Intersection,Over Speeding,ravi dass chowk anandpur sahib ,0,5,10,31.237149600000006,76.4933585,SH,SH-22,Urban,"31.2371496,76.4933585",0
174,174,175,68,"279, 337 ,427",07/24/2017,2017-07-24,Anandpur Sahib ,1900-01-02,23:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,0,1,Hit From Back,0,Intersection,Over Speeding,Near railway satation Anandpur Sahib ,0,0,1,31.233475899999995,76.4984181,SH,SH-22,Urban,"31.2334759,76.4984181",0
175,175,176,70,"279, 337, 304-A, 427",07/31/2017,2017-07-31,Anandpur Sahib ,1900-01-02,11:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Intersection,Over Speeding,main road village kotla ,1,0,1,31.2095093,76.54689549999999,SH,SH-22,Rural,"31.2095093,76.5468955",0
176,176,177,74,"279, 304-A ,337,427",11/08/2017,2017-12-08,Anandpur Sahib ,1900-01-04,22:15:00,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,1,2,Head on,0,Mid Block,Over Speeding,main road vill. Behalu ,1,1,2,31.281442,76.434106,SH,SH-22,Rural,"31.281442,76.434106",30
177,177,178,91,"279, 304-A, 427 ",09/14/2017,2017-09-28,Anandpur Sahib ,1900-01-05,13:00:00,Two Wheeler,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,near Ganguwal Morh ,1,0,1,31.2553875,76.47349890000001,SH,SH-22,Rural,"31.2553875,76.4734989",14
178,178,179,97,"279, 304-A ,337",03/10/2017,2017-04-10,Anandpur Sahib ,1900-01-06,11:20:00,Unknown,0,0,0,Two Wheeler,1,0,1,Hit From Back,0,Intersection,Over Speeding,G.T Road Anandpur Sahib ,1,0,1,31.237149600000006,76.4933585,SH,SH-22,Urban,"31.2371496,76.4933585",31
